NAME,year,CountOfCAMPNAME,SumOfCPETALLC,SumOfCPETECOC,SumOfCPETLEPC,SumOfCPETBILC,SumOfCPETSPEC
Academy Of Careers And Technologies,2012,1,188,49,6,6,19
Academy Of Careers And Technologies,2013,1,192,70,12,12,19
Academy Of Careers And Technologies,2014,1,182,52,8,8,16
Academy Of Careers And Technologies,2015,1,221,81,4,7,10
Academy Of Careers And Technologies,2016,1,190,127,5,5,11
Academy Of Dallas,2000,1,178,78,0,0,0
Academy Of Dallas,2001,1,249,133,0,0,4
Academy Of Dallas,2002,1,376,221,0,0,12
Academy Of Dallas,2003,1,571,388,0,0,14
Academy Of Dallas,2004,1,598,514,0,0,32
Academy Of Dallas,2005,1,508,349,0,0,41
Academy Of Dallas,2006,1,496,459,4,4,31
Academy Of Dallas,2007,1,571,539,23,21,30
Academy Of Dallas,2008,1,510,480,13,11,22
Academy Of Dallas,2009,1,520,493,14,12,20
Academy Of Dallas,2010,1,535,517,21,21,28
Academy Of Dallas,2011,1,495,365,24,23,37
Academy Of Dallas,2012,1,537,422,43,43,32
Academy Of Dallas,2013,1,617,402,50,49,17
Academy Of Dallas,2014,1,603,329,49,51,83
Academy Of Dallas,2015,1,644,565,68,64,15
Academy Of Dallas,2016,1,604,589,79,73,60
Academy Of Dallas,2017,1,476,472,71,70,50
Academy Of Dallas,2018,1,432,421,65,67,41
Academy Of Houston,1999,1,306,82,0,0,0
Academy Of Houston,2000,1,441,163,0,0,5
Academy Of Houston,2001,1,589,120,20,20,27
Academy Of Houston,2002,1,479,324,18,18,16
Academy Of Houston,2003,1,413,327,8,8,19
Accelerated Intermediate Academy,2002,1,104,75,0,0,21
Accelerated Intermediate Academy,2003,1,184,162,4,0,35
Accelerated Intermediate Academy,2004,1,453,416,34,30,53
Accelerated Intermediate Academy,2005,2,503,392,42,41,69
Accelerated Intermediate Academy,2006,6,815,736,40,40,81
Accelerated Intermediate Academy,2007,4,603,588,42,42,61
Accelerated Intermediate Academy,2008,3,692,684,64,64,54
Accelerated Intermediate Academy,2009,2,491,409,65,64,42
Accelerated Intermediate Academy,2010,2,454,373,122,121,50
Accelerated Intermediate Academy,2011,1,242,231,71,70,30
Accelerated Intermediate Academy,2012,1,258,249,82,81,19
Accelerated Intermediate Academy,2013,2,253,237,91,89,14
Accelerated Intermediate Academy,2014,2,250,238,82,80,15
Accelerated Intermediate Academy,2015,1,254,243,98,97,19
Accelerated Intermediate Academy,2016,1,281,272,110,109,19
Accelerated Intermediate Academy,2017,3,283,269,101,101,13
Accelerated Intermediate Academy,2018,2,269,258,84,84,7
Advantage Academy,1999,1,80,51,0,0,15
Advantage Academy,2000,1,104,31,0,0,24
Advantage Academy,2001,1,410,202,5,0,26
Advantage Academy,2002,3,346,224,17,11,43
Advantage Academy,2003,1,187,146,8,8,18
Advantage Academy,2004,1,395,312,35,34,32
Advantage Academy,2005,1,404,341,38,37,38
Advantage Academy,2006,1,715,645,70,69,44
Advantage Academy,2007,1,1212,819,138,128,66
Advantage Academy,2008,1,1448,809,112,56,93
Advantage Academy,2009,1,1496,882,142,146,105
Advantage Academy,2010,1,1507,896,176,171,94
Advantage Academy,2011,1,1424,869,198,191,106
Advantage Academy,2012,1,1703,1097,227,222,132
Advantage Academy,2013,1,1971,1341,380,360,144
Advantage Academy,2014,1,1630,1199,383,367,106
Advantage Academy,2015,1,1633,1209,422,394,117
Advantage Academy,2016,1,1833,1386,475,453,111
Advantage Academy,2017,1,1650,1231,406,397,95
Advantage Academy,2018,1,1666,1263,391,375,74
Alief Montessori Community School,1999,1,105,36,0,0,0
Alief Montessori Community School,2000,1,93,39,26,0,4
Alief Montessori Community School,2001,1,99,46,40,0,2
Alief Montessori Community School,2002,1,135,69,65,0,4
Alief Montessori Community School,2003,1,155,83,92,0,5
Alief Montessori Community School,2004,1,162,100,94,96,7
Alief Montessori Community School,2005,1,198,134,119,120,7
Alief Montessori Community School,2006,1,213,213,139,71,11
Alief Montessori Community School,2007,1,205,175,139,139,5
Alief Montessori Community School,2008,1,218,218,136,136,6
Alief Montessori Community School,2009,1,224,224,148,148,13
Alief Montessori Community School,2010,1,238,238,129,129,11
Alief Montessori Community School,2011,1,242,242,159,159,8
Alief Montessori Community School,2012,1,280,280,169,169,6
Alief Montessori Community School,2013,1,297,243,194,193,7
Alief Montessori Community School,2014,1,283,183,201,201,11
Alief Montessori Community School,2015,1,296,176,221,220,14
Alief Montessori Community School,2016,1,294,176,193,193,15
Alief Montessori Community School,2017,1,271,106,211,211,17
Alief Montessori Community School,2018,1,285,84,231,231,21
Alpha Charter School,2002,1,144,55,0,0,20
Alpha Charter School,2003,1,131,83,0,0,15
Alpha Charter School,2004,1,200,76,0,0,23
Alpha Charter School,2005,1,211,82,0,0,41
Alpha Charter School,2006,1,210,100,10,10,41
Alpha Charter School,2007,1,261,80,16,11,35
Alpha Charter School,2008,1,218,134,19,14,36
Alpha Charter School,2009,1,219,170,13,11,43
Alpha Charter School,2010,1,202,125,10,8,36
Alpha Charter School,2011,1,176,109,9,7,26
Alpha Charter School,2012,1,144,107,6,6,21
Alpha Charter School,2013,1,127,76,5,5,24
Alpha Charter School,2014,1,115,69,2,2,15
Alpha Charter School,2015,1,156,133,2,2,14
Alpha Charter School,2016,1,132,121,5,3,24
Alpha Charter School,2017,1,171,167,5,5,18
Alphonso Crutch's-Life Support Center,2000,1,275,111,0,0,5
Alphonso Crutch's-Life Support Center,2001,1,855,138,0,0,33
Alphonso Crutch's-Life Support Center,2002,1,1235,635,0,3,38
Alphonso Crutch's-Life Support Center,2003,1,917,353,9,7,25
Alphonso Crutch's-Life Support Center,2004,1,933,474,5,5,21
Alphonso Crutch's-Life Support Center,2005,1,596,362,0,0,26
Alphonso Crutch's-Life Support Center,2006,1,436,345,0,0,36
Alphonso Crutch's-Life Support Center,2007,1,434,173,0,0,19
Alphonso Crutch's-Life Support Center,2008,1,311,143,0,0,2
Alphonso Crutch's-Life Support Center,2009,1,179,121,0,0,11
Ambassadors Preparatory Academy,2008,1,114,108,0,0,4
Ambassadors Preparatory Academy,2009,1,129,113,0,0,9
Ambassadors Preparatory Academy,2010,1,181,168,0,0,15
Ambassadors Preparatory Academy,2011,1,277,177,0,0,15
Ambassadors Preparatory Academy,2012,1,225,170,0,0,13
Ambassadors Preparatory Academy,2013,1,329,299,0,0,16
Ambassadors Preparatory Academy,2014,1,320,290,0,0,17
Ambassadors Preparatory Academy,2015,1,302,258,0,0,18
Ambassadors Preparatory Academy,2016,1,278,238,0,0,12
Ambassadors Preparatory Academy,2017,1,281,247,0,0,12
Ambassadors Preparatory Academy,2018,1,295,250,0,0,10
American Academy Of Excellence Charter,2000,1,49,43,0,0,3
American Academy Of Excellence Charter,2001,1,223,138,0,0,15
American Academy Of Excellence Charter,2002,1,370,163,2,0,29
American Academy Of Excellence Charter,2003,1,268,215,6,5,20
American Academy Of Excellence Charter,2004,1,167,148,1,1,8
American Academy Of Excellence Charter,2005,1,150,116,11,10,11
American Academy Of Excellence Charter,2006,1,144,121,4,4,23
American Academy Of Excellence Charter,2007,1,150,133,4,4,11
American Youthworks Charter School,1997,1,93,75,0,0,0
American Youthworks Charter School,1998,1,155,110,5,5,12
American Youthworks Charter School,1999,1,239,171,10,6,17
American Youthworks Charter School,2000,1,233,150,2,1,27
American Youthworks Charter School,2001,1,231,112,17,15,27
American Youthworks Charter School,2002,1,257,154,18,6,27
American Youthworks Charter School,2003,1,350,216,7,5,35
American Youthworks Charter School,2004,2,428,193,11,8,62
American Youthworks Charter School,2005,2,433,194,18,9,64
American Youthworks Charter School,2006,2,434,231,31,3,59
American Youthworks Charter School,2007,2,422,280,21,12,63
American Youthworks Charter School,2008,2,464,295,52,36,76
American Youthworks Charter School,2009,2,309,212,29,20,60
American Youthworks Charter School,2010,2,306,194,17,14,55
American Youthworks Charter School,2011,2,257,150,31,31,45
American Youthworks Charter School,2012,1,115,69,18,14,16
American Youthworks Charter School,2013,1,123,72,7,6,28
American Youthworks Charter School,2014,1,167,103,9,6,33
Amigos Por Vida-Friends For Life Public Charter School,2000,1,244,224,212,209,1
Amigos Por Vida-Friends For Life Public Charter School,2001,1,315,296,0,0,0
Amigos Por Vida-Friends For Life Public Charter School,2002,1,366,342,143,144,0
Amigos Por Vida-Friends For Life Public Charter School,2003,1,352,340,322,321,0
Amigos Por Vida-Friends For Life Public Charter School,2004,1,317,307,292,295,18
Amigos Por Vida-Friends For Life Public Charter School,2005,1,302,297,289,294,14
Amigos Por Vida-Friends For Life Public Charter School,2006,1,329,328,314,324,16
Amigos Por Vida-Friends For Life Public Charter School,2007,1,372,363,341,361,18
Amigos Por Vida-Friends For Life Public Charter School,2008,1,432,424,389,423,26
Amigos Por Vida-Friends For Life Public Charter School,2009,1,471,458,426,471,26
Amigos Por Vida-Friends For Life Public Charter School,2010,1,482,480,429,451,27
Amigos Por Vida-Friends For Life Public Charter School,2011,1,475,470,445,455,28
Amigos Por Vida-Friends For Life Public Charter School,2012,1,485,478,448,483,27
Amigos Por Vida-Friends For Life Public Charter School,2013,1,510,505,461,475,23
Amigos Por Vida-Friends For Life Public Charter School,2014,1,521,509,482,501,30
Amigos Por Vida-Friends For Life Public Charter School,2015,1,500,493,461,472,21
Amigos Por Vida-Friends For Life Public Charter School,2016,1,527,511,475,475,24
Amigos Por Vida-Friends For Life Public Charter School,2017,1,499,482,421,420,30
Amigos Por Vida-Friends For Life Public Charter School,2018,1,513,505,431,430,40
Aristoi Classical Academy,1997,1,122,0,3,0,38
Aristoi Classical Academy,1998,1,102,3,4,0,33
Aristoi Classical Academy,1999,2,153,0,0,0,34
Aristoi Classical Academy,2000,2,237,0,5,0,50
Aristoi Classical Academy,2001,2,228,0,0,0,30
Aristoi Classical Academy,2002,2,192,0,0,0,21
Aristoi Classical Academy,2003,2,186,0,0,0,26
Aristoi Classical Academy,2004,2,245,0,0,0,37
Aristoi Classical Academy,2005,2,215,0,0,0,34
Aristoi Classical Academy,2006,2,138,0,0,0,32
Aristoi Classical Academy,2007,2,178,0,0,0,19
Aristoi Classical Academy,2008,1,245,0,0,0,23
Aristoi Classical Academy,2009,1,317,57,0,0,23
Aristoi Classical Academy,2010,1,307,61,0,0,27
Aristoi Classical Academy,2011,1,305,88,0,0,21
Aristoi Classical Academy,2012,1,305,86,15,18,24
Aristoi Classical Academy,2013,1,320,76,19,18,30
Aristoi Classical Academy,2014,1,430,106,18,17,26
Aristoi Classical Academy,2015,2,539,100,31,27,30
Aristoi Classical Academy,2016,2,644,104,27,27,35
Aristoi Classical Academy,2017,2,779,130,23,23,43
Aristoi Classical Academy,2018,2,856,206,30,30,61
Arlington Classics Academy,2000,1,311,0,0,1,8
Arlington Classics Academy,2001,1,272,15,0,0,14
Arlington Classics Academy,2002,1,246,10,0,0,15
Arlington Classics Academy,2003,1,259,19,12,12,14
Arlington Classics Academy,2004,1,249,47,10,10,8
Arlington Classics Academy,2005,1,274,62,9,9,25
Arlington Classics Academy,2006,1,355,16,9,10,16
Arlington Classics Academy,2007,1,404,27,10,9,34
Arlington Classics Academy,2008,1,430,21,8,8,22
Arlington Classics Academy,2009,1,461,8,7,5,27
Arlington Classics Academy,2010,1,502,33,12,10,17
Arlington Classics Academy,2011,1,495,26,9,8,19
Arlington Classics Academy,2012,3,997,171,39,25,24
Arlington Classics Academy,2013,3,1176,224,45,22,34
Arlington Classics Academy,2014,3,1284,256,43,31,43
Arlington Classics Academy,2015,3,1392,246,64,54,54
Arlington Classics Academy,2016,3,1442,289,66,44,53
Arlington Classics Academy,2017,3,1486,276,66,52,49
Arlington Classics Academy,2018,3,1532,288,69,62,51
Arrow Academy,2012,4,571,399,2,0,17
Arrow Academy,2013,6,867,678,114,114,34
Arrow Academy,2014,6,927,775,192,189,41
Arrow Academy,2015,7,844,625,220,215,31
Arrow Academy,2016,5,547,391,57,56,25
Arrow Academy,2017,4,491,381,47,47,34
Arrow Academy,2018,4,621,574,79,75,40
Austin Achieve Public Schools,2013,1,118,111,43,43,9
Austin Achieve Public Schools,2014,1,278,84,139,139,19
Austin Achieve Public Schools,2015,1,411,384,180,178,52
Austin Achieve Public Schools,2016,1,548,512,311,310,59
Austin Achieve Public Schools,2017,1,702,626,393,393,86
Austin Achieve Public Schools,2018,1,809,760,462,459,104
Austin Can Academy Charter School,2003,1,81,54,0,0,11
Austin Can Academy Charter School,2004,1,179,120,1,1,34
Austin Can Academy Charter School,2005,1,243,208,36,10,43
Austin Can Academy Charter School,2006,1,371,184,54,39,74
Austin Can Academy Charter School,2007,1,271,231,82,77,55
Austin Can Academy Charter School,2008,1,301,202,76,75,50
Austin Can Academy Charter School,2009,1,290,269,45,45,57
Austin Can Academy Charter School,2010,1,357,315,79,79,60
Austin Can Academy Charter School,2011,1,363,328,94,90,67
Austin Can Academy Charter School,2012,1,297,264,65,63,51
Austin Can Academy Charter School,2013,1,387,334,89,88,50
Austin Discovery School,2006,1,137,0,0,0,7
Austin Discovery School,2007,1,213,0,2,2,13
Austin Discovery School,2008,1,231,36,18,16,19
Austin Discovery School,2009,1,235,25,18,16,15
Austin Discovery School,2010,1,317,55,20,19,16
Austin Discovery School,2011,1,375,68,15,15,24
Austin Discovery School,2012,1,400,54,16,16,22
Austin Discovery School,2013,1,395,84,14,13,30
Austin Discovery School,2014,1,374,77,9,8,31
Austin Discovery School,2015,1,491,102,12,10,34
Austin Discovery School,2016,1,543,101,18,20,42
Austin Discovery School,2017,1,556,65,15,15,47
Austin Discovery School,2018,1,524,130,10,10,47
Azleway Charter School,2002,1,71,68,0,0,48
Azleway Charter School,2003,1,81,81,0,0,43
Azleway Charter School,2004,1,88,88,0,0,62
Azleway Charter School,2005,1,91,91,0,0,65
Azleway Charter School,2006,1,91,91,0,0,71
Azleway Charter School,2007,1,87,87,0,0,57
Azleway Charter School,2008,2,133,131,0,0,66
Azleway Charter School,2009,2,122,122,0,0,80
Azleway Charter School,2010,2,139,138,0,0,94
Azleway Charter School,2011,2,130,130,0,0,71
Azleway Charter School,2012,2,134,132,0,0,71
Azleway Charter School,2013,2,161,161,0,0,95
Azleway Charter School,2014,2,162,156,0,0,81
Basis Texas,2014,1,508,28,0,0,12
Basis Texas,2015,2,1052,0,2,2,0
Basis Texas,2016,2,1305,88,7,7,16
Basis Texas,2017,2,1384,103,33,44,15
Basis Texas,2018,3,2452,104,178,150,40
Bay Area Charter Inc,1999,1,147,22,4,0,8
Bay Area Charter Inc,2000,1,157,32,7,0,15
Bay Area Charter Inc,2001,2,215,32,8,8,18
Bay Area Charter Inc,2002,2,237,22,15,12,15
Bay Area Charter Inc,2003,2,242,73,1,8,15
Bay Area Charter Inc,2004,2,277,80,15,16,25
Bay Area Charter Inc,2005,3,303,98,27,27,40
Bay Area Charter Inc,2006,3,338,119,19,20,36
Bay Area Charter Inc,2007,3,295,110,14,13,35
Bay Area Charter Inc,2008,3,289,90,19,18,40
Bay Area Charter Inc,2009,3,328,122,18,18,48
Bay Area Charter Inc,2010,3,366,128,27,27,57
Bay Area Charter Inc,2011,3,367,124,24,24,62
Bay Area Charter Inc,2012,3,373,128,26,25,65
Bay Area Charter Inc,2013,3,360,122,25,25,56
Bay Area Charter Inc,2014,3,416,148,21,21,67
Bay Area Charter Inc,2015,3,419,145,15,15,57
Beatrice Mayes Institute Charter School,2002,1,236,156,0,0,4
Beatrice Mayes Institute Charter School,2003,1,270,174,0,0,11
Beatrice Mayes Institute Charter School,2004,1,286,180,0,0,15
Beatrice Mayes Institute Charter School,2005,1,321,193,0,0,19
Beatrice Mayes Institute Charter School,2006,1,340,192,0,0,23
Beatrice Mayes Institute Charter School,2007,1,347,256,0,0,26
Beatrice Mayes Institute Charter School,2008,1,372,266,0,0,27
Beatrice Mayes Institute Charter School,2009,1,416,291,0,0,23
Beatrice Mayes Institute Charter School,2010,1,415,309,0,0,24
Beatrice Mayes Institute Charter School,2011,1,430,346,0,0,28
Beatrice Mayes Institute Charter School,2012,1,443,352,0,0,30
Beatrice Mayes Institute Charter School,2013,1,450,346,0,0,29
Beatrice Mayes Institute Charter School,2014,1,424,318,0,0,28
Beatrice Mayes Institute Charter School,2015,1,472,324,0,0,31
Beatrice Mayes Institute Charter School,2016,1,455,350,0,0,41
Beatrice Mayes Institute Charter School,2017,1,482,360,0,0,39
Beatrice Mayes Institute Charter School,2018,1,445,327,0,0,31
Benji's Special Educational Academy,2000,1,136,135,0,0,47
Benji's Special Educational Academy,2001,1,214,214,0,0,34
Benji's Special Educational Academy,2002,1,356,356,0,0,61
Benji's Special Educational Academy,2003,1,411,399,0,0,69
Benji's Special Educational Academy,2004,1,402,401,0,0,61
Benji's Special Educational Academy,2005,1,496,484,1,0,78
Benji's Special Educational Academy,2006,1,611,537,1,0,81
Benji's Special Educational Academy,2007,1,635,625,1,0,94
Benji's Special Educational Academy,2008,1,560,559,0,0,90
Benji's Special Educational Academy,2009,1,520,414,0,0,83
Benji's Special Educational Academy,2010,1,496,291,0,0,98
Benji's Special Educational Academy,2011,1,268,223,0,0,31
Beta Academy,2016,1,467,286,110,93,14
Beta Academy,2017,1,542,344,138,118,22
Beta Academy,2018,1,549,212,110,103,27
Bexar County Academy,2000,1,82,8,0,0,0
Bexar County Academy,2001,1,115,98,0,0,11
Bexar County Academy,2002,1,284,176,21,21,21
Bexar County Academy,2003,1,285,206,32,10,19
Bexar County Academy,2004,1,424,254,32,31,36
Bexar County Academy,2005,1,514,503,56,55,42
Bexar County Academy,2006,1,524,512,47,44,34
Bexar County Academy,2007,1,501,487,64,57,42
Bexar County Academy,2008,1,504,484,66,59,26
Bexar County Academy,2009,1,485,428,88,82,22
Bexar County Academy,2010,1,482,462,100,94,24
Bexar County Academy,2011,1,509,492,81,79,34
Bexar County Academy,2012,1,502,474,95,101,47
Bexar County Academy,2013,1,458,134,89,90,43
Bexar County Academy,2014,1,505,177,102,95,58
Bexar County Academy,2015,1,432,367,87,83,51
Bexar County Academy,2016,1,444,391,87,84,58
Bexar County Academy,2017,1,368,363,61,59,42
Bexar County Academy,2018,1,374,360,96,93,39
Big Springs Charter School,2002,1,16,15,0,0,14
Big Springs Charter School,2003,1,15,14,0,0,13
Big Springs Charter School,2004,1,28,23,0,0,21
Big Springs Charter School,2005,1,66,48,0,0,36
Big Springs Charter School,2006,2,79,69,2,2,53
Big Springs Charter School,2007,2,101,97,0,0,80
Big Springs Charter School,2008,2,115,109,5,5,100
Big Springs Charter School,2009,2,117,108,0,0,106
Big Springs Charter School,2010,2,124,120,1,1,96
Big Springs Charter School,2011,2,144,137,2,2,85
Big Springs Charter School,2012,2,171,163,1,1,120
Big Springs Charter School,2013,2,165,152,6,3,100
Big Springs Charter School,2014,2,186,171,4,3,94
Big Springs Charter School,2015,2,231,160,4,4,98
Big Springs Charter School,2016,2,205,187,3,3,99
Big Springs Charter School,2017,2,204,188,1,1,91
Big Springs Charter School,2018,2,233,207,4,4,99
Bob Hope School,2011,1,204,177,0,0,29
Bob Hope School,2012,1,245,223,23,12,25
Bob Hope School,2013,1,243,222,15,10,17
Bob Hope School,2014,1,246,228,20,14,10
Bob Hope School,2015,1,447,399,77,41,22
Bob Hope School,2016,1,516,451,108,66,25
Bob Hope School,2017,2,850,779,336,332,35
Bob Hope School,2018,2,976,874,451,439,43
Brazos River Charter School,2001,1,57,31,0,0,0
Brazos River Charter School,2002,1,81,41,0,0,9
Brazos River Charter School,2003,1,114,60,0,0,26
Brazos River Charter School,2004,1,125,61,0,0,17
Brazos River Charter School,2005,1,137,70,0,0,34
Brazos River Charter School,2006,1,137,73,0,0,27
Brazos River Charter School,2007,1,135,69,0,0,24
Brazos River Charter School,2008,1,138,70,0,0,24
Brazos River Charter School,2009,1,137,72,0,0,27
Brazos River Charter School,2010,1,157,95,0,0,35
Brazos River Charter School,2011,1,130,86,0,0,23
Brazos River Charter School,2012,1,194,125,0,0,19
Brazos River Charter School,2013,1,226,127,0,0,37
Brazos River Charter School,2014,1,206,123,0,0,29
Brazos River Charter School,2015,1,238,138,0,0,36
Brazos River Charter School,2016,1,246,123,1,1,33
Brazos River Charter School,2017,1,228,128,0,0,35
Brazos River Charter School,2018,1,236,153,0,0,25
Brazos School For Inquiry & Creatitivity,2000,1,70,0,0,0,9
Brazos School For Inquiry & Creatitivity,2001,1,86,44,0,0,8
Brazos School For Inquiry & Creatitivity,2002,1,146,98,0,0,4
Brazos School For Inquiry & Creatitivity,2003,1,129,91,0,0,19
Brazos School For Inquiry & Creatitivity,2004,1,88,68,0,0,26
Brazos School For Inquiry & Creatitivity,2005,3,264,234,0,66,27
Brazos School For Inquiry & Creatitivity,2006,4,355,333,0,0,16
Brazos School For Inquiry & Creatitivity,2007,3,298,266,63,63,24
Brazos School For Inquiry & Creatitivity,2008,4,458,402,15,13,22
Brazos School For Inquiry & Creatitivity,2009,4,461,437,67,40,35
Brazos School For Inquiry & Creatitivity,2010,4,490,472,70,51,51
Brazos School For Inquiry & Creatitivity,2011,4,494,467,56,37,50
Brazos School For Inquiry & Creatitivity,2012,4,453,426,81,69,30
Brazos School For Inquiry & Creatitivity,2013,3,448,420,78,76,37
Brazos School For Inquiry & Creatitivity,2014,3,478,447,83,76,36
Brazos School For Inquiry & Creatitivity,2015,3,434,398,89,82,27
Brazos School For Inquiry & Creatitivity,2016,3,417,395,97,92,34
Brazos School For Inquiry & Creatitivity,2017,3,387,355,69,65,39
Brazos School For Inquiry & Creatitivity,2018,3,394,370,95,92,25
Bright Ideas Charter,1999,1,67,3,0,0,0
Bright Ideas Charter,2000,1,67,0,0,0,0
Bright Ideas Charter,2001,1,69,35,0,0,0
Bright Ideas Charter,2002,1,81,37,0,0,3
Bright Ideas Charter,2003,1,159,63,0,0,10
Bright Ideas Charter,2004,1,173,87,0,0,14
Bright Ideas Charter,2005,1,156,64,0,0,9
Bright Ideas Charter,2006,1,168,78,0,0,10
Bright Ideas Charter,2007,1,173,71,0,0,9
Bright Ideas Charter,2008,1,161,71,0,0,6
Bright Ideas Charter,2009,1,166,79,0,0,4
Bright Ideas Charter,2010,1,197,54,0,0,9
Bright Ideas Charter,2011,1,187,55,0,0,6
Bright Ideas Charter,2012,1,192,96,0,0,14
Bright Ideas Charter,2013,1,168,85,0,0,18
Bright Ideas Charter,2014,1,159,97,0,0,16
Bright Ideas Charter,2015,1,115,60,0,0,13
Brooks Academy Of Science And Engineering,2007,1,235,153,0,0,9
