"ref_distnm","Year","CountOfCAMPNAME","SumOfCPETALLC","SumOfCPETECOC","SumOfCPETLEPC","SumOfCPETBILC","SumOfCPETSPEC"
"Advantage Academy",2008,1,1448.00,809.00,112.00,56.00,93.00
"Advantage Academy",2009,1,1496.00,882.00,142.00,146.00,105.00
"Advantage Academy",2010,1,1507.00,896.00,176.00,171.00,94.00
"Advantage Academy",2011,1,1424.00,869.00,198.00,191.00,106.00
"Advantage Academy",2012,1,1703.00,1097.00,227.00,222.00,132.00
"Advantage Academy",2013,1,1971.00,1341.00,380.00,360.00,144.00
"Advantage Academy",2014,1,1630.00,1199.00,383.00,367.00,106.00
"Advantage Academy",2015,1,1633.00,1209.00,422.00,394.00,117.00
"Advantage Academy",2016,1,1833.00,1386.00,475.00,453.00,111.00
"Advantage Academy",2017,1,1650.00,1231.00,406.00,397.00,95.00
"Advantage Academy",2018,1,1666.00,1263.00,391.00,375.00,74.00
"Advantage Academy",2019,1,1689.00,1301.00,417.00,284.00,102.00
"Advantage Academy",2020,1,1396.00,1087.00,345.00,302.00,80.00
"Alief Montessori Community School",1999,1,105.00,36.00,0.00,0.00,0.00
"Alief Montessori Community School",2000,1,93.00,39.00,26.00,0.00,4.00
"Alief Montessori Community School",2001,1,99.00,46.00,40.00,0.00,2.00
"Alief Montessori Community School",2002,1,135.00,69.00,65.00,0.00,4.00
"Alief Montessori Community School",2003,1,155.00,83.00,92.00,0.00,5.00
"Alief Montessori Community School",2004,1,162.00,100.00,94.00,96.00,7.00
"Alief Montessori Community School",2005,1,198.00,134.00,119.00,120.00,7.00
"Alief Montessori Community School",2006,1,213.00,213.00,139.00,71.00,11.00
"Alief Montessori Community School",2007,1,205.00,175.00,139.00,139.00,5.00
"Alief Montessori Community School",2008,1,218.00,218.00,136.00,136.00,6.00
"Alief Montessori Community School",2009,1,224.00,224.00,148.00,148.00,13.00
"Alief Montessori Community School",2010,1,238.00,238.00,129.00,129.00,11.00
"Alief Montessori Community School",2011,1,242.00,242.00,159.00,159.00,8.00
"Alief Montessori Community School",2012,1,280.00,280.00,169.00,169.00,6.00
"Alief Montessori Community School",2013,1,297.00,243.00,194.00,193.00,7.00
"Alief Montessori Community School",2014,1,283.00,183.00,201.00,201.00,11.00
"Alief Montessori Community School",2015,1,296.00,176.00,221.00,220.00,14.00
"Alief Montessori Community School",2016,1,294.00,176.00,193.00,193.00,15.00
"Alief Montessori Community School",2017,1,271.00,106.00,211.00,211.00,17.00
"Alief Montessori Community School",2018,1,285.00,84.00,231.00,231.00,21.00
"Alief Montessori Community School",2019,1,305.00,215.00,236.00,236.00,20.00
"Alief Montessori Community School",2020,1,347.00,255.00,272.00,273.00,5.00
"Alpha Charter School",2002,1,144.00,55.00,0.00,0.00,20.00
"Alpha Charter School",2003,1,131.00,83.00,0.00,0.00,15.00
"Alpha Charter School",2004,1,200.00,76.00,0.00,0.00,23.00
"Alpha Charter School",2005,1,211.00,82.00,0.00,0.00,41.00
"Alpha Charter School",2006,1,210.00,100.00,10.00,10.00,41.00
"Alpha Charter School",2007,1,261.00,80.00,16.00,11.00,35.00
"Alpha Charter School",2008,1,218.00,134.00,19.00,14.00,36.00
"Alpha Charter School",2009,1,219.00,170.00,13.00,11.00,43.00
"Alpha Charter School",2010,1,202.00,125.00,10.00,8.00,36.00
"Alpha Charter School",2011,1,176.00,109.00,9.00,7.00,26.00
"Alpha Charter School",2012,1,144.00,107.00,6.00,6.00,21.00
"Alpha Charter School",2013,1,127.00,76.00,5.00,5.00,24.00
"Alpha Charter School",2014,1,115.00,69.00,2.00,2.00,15.00
"Alpha Charter School",2015,1,156.00,133.00,2.00,2.00,14.00
"Alpha Charter School",2016,1,132.00,121.00,5.00,3.00,24.00
"Alpha Charter School",2017,1,171.00,167.00,5.00,5.00,18.00
"Alphonso Crutch's-Life Support Center",2000,1,275.00,111.00,0.00,0.00,5.00
"Alphonso Crutch's-Life Support Center",2001,1,855.00,138.00,0.00,0.00,33.00
"Alphonso Crutch's-Life Support Center",2002,1,1235.00,635.00,0.00,3.00,38.00
"Alphonso Crutch's-Life Support Center",2003,1,917.00,353.00,9.00,7.00,25.00
"Alphonso Crutch's-Life Support Center",2004,1,933.00,474.00,5.00,5.00,21.00
"Alphonso Crutch's-Life Support Center",2005,1,596.00,362.00,0.00,0.00,26.00
"Alphonso Crutch's-Life Support Center",2006,1,436.00,345.00,0.00,0.00,36.00
"Alphonso Crutch's-Life Support Center",2007,1,434.00,173.00,0.00,0.00,19.00
"Alphonso Crutch's-Life Support Center",2008,1,311.00,143.00,0.00,0.00,2.00
"Alphonso Crutch's-Life Support Center",2009,1,179.00,121.00,0.00,0.00,11.00
"Ambassadors Preparatory Academy",2008,1,114.00,108.00,0.00,0.00,4.00
"Ambassadors Preparatory Academy",2009,1,129.00,113.00,0.00,0.00,9.00
"Ambassadors Preparatory Academy",2010,1,181.00,168.00,0.00,0.00,15.00
"Ambassadors Preparatory Academy",2011,1,277.00,177.00,0.00,0.00,15.00
"Ambassadors Preparatory Academy",2012,1,225.00,170.00,0.00,0.00,13.00
"Ambassadors Preparatory Academy",2013,1,329.00,299.00,0.00,0.00,16.00
"Ambassadors Preparatory Academy",2014,1,320.00,290.00,0.00,0.00,17.00
"Ambassadors Preparatory Academy",2015,1,302.00,258.00,0.00,0.00,18.00
"Ambassadors Preparatory Academy",2016,1,278.00,238.00,0.00,0.00,12.00
"Ambassadors Preparatory Academy",2017,1,281.00,247.00,0.00,0.00,12.00
"Ambassadors Preparatory Academy",2018,1,295.00,250.00,0.00,0.00,10.00
"Ambassadors Preparatory Academy",2019,1,323.00,273.00,0.00,0.00,12.00
"Ambassadors Preparatory Academy",2020,1,281.00,224.00,0.00,0.00,10.00
"American Academy Of Excellence Charter",2000,1,49.00,43.00,0.00,0.00,3.00
"American Academy Of Excellence Charter",2001,1,223.00,138.00,0.00,0.00,15.00
"American Academy Of Excellence Charter",2002,1,370.00,163.00,2.00,0.00,29.00
"American Academy Of Excellence Charter",2003,1,268.00,215.00,6.00,5.00,20.00
"American Academy Of Excellence Charter",2004,1,167.00,148.00,1.00,1.00,8.00
"American Academy Of Excellence Charter",2005,1,150.00,116.00,11.00,10.00,11.00
"American Academy Of Excellence Charter",2006,1,144.00,121.00,4.00,4.00,23.00
"American Academy Of Excellence Charter",2007,1,150.00,133.00,4.00,4.00,11.00
"American Youthworks Charter School",1997,1,93.00,75.00,0.00,0.00,0.00
"American Youthworks Charter School",1998,1,155.00,110.00,5.00,5.00,12.00
"American Youthworks Charter School",1999,1,239.00,171.00,10.00,6.00,17.00
"American Youthworks Charter School",2000,1,233.00,150.00,2.00,1.00,27.00
"American Youthworks Charter School",2001,1,231.00,112.00,17.00,15.00,27.00
"American Youthworks Charter School",2002,1,257.00,154.00,18.00,6.00,27.00
"American Youthworks Charter School",2003,1,350.00,216.00,7.00,5.00,35.00
"American Youthworks Charter School",2004,2,428.00,193.00,11.00,8.00,62.00
"American Youthworks Charter School",2005,2,433.00,194.00,18.00,9.00,64.00
"American Youthworks Charter School",2006,2,434.00,231.00,31.00,3.00,59.00
"American Youthworks Charter School",2007,2,422.00,280.00,21.00,12.00,63.00
"American Youthworks Charter School",2008,2,464.00,295.00,52.00,36.00,76.00
"American Youthworks Charter School",2009,2,309.00,212.00,29.00,20.00,60.00
"American Youthworks Charter School",2010,2,306.00,194.00,17.00,14.00,55.00
"American Youthworks Charter School",2011,2,257.00,150.00,31.00,31.00,45.00
"American Youthworks Charter School",2012,1,115.00,69.00,18.00,14.00,16.00
"American Youthworks Charter School",2013,1,123.00,72.00,7.00,6.00,28.00
"American Youthworks Charter School",2014,1,167.00,103.00,9.00,6.00,33.00
"Amigos Por Vida-Friends For Life P",2019,1,494.00,485.00,427.00,426.00,29.00
"Amigos Por Vida-Friends For Life Public Charter School",2000,1,244.00,224.00,212.00,209.00,1.00
"Amigos Por Vida-Friends For Life Public Charter School",2001,1,315.00,296.00,0.00,0.00,0.00
"Amigos Por Vida-Friends For Life Public Charter School",2002,1,366.00,342.00,143.00,144.00,0.00
"Amigos Por Vida-Friends For Life Public Charter School",2003,1,352.00,340.00,322.00,321.00,0.00
"Amigos Por Vida-Friends For Life Public Charter School",2004,1,317.00,307.00,292.00,295.00,18.00
"Amigos Por Vida-Friends For Life Public Charter School",2005,1,302.00,297.00,289.00,294.00,14.00
"Amigos Por Vida-Friends For Life Public Charter School",2006,1,329.00,328.00,314.00,324.00,16.00
"Amigos Por Vida-Friends For Life Public Charter School",2007,1,372.00,363.00,341.00,361.00,18.00
"Amigos Por Vida-Friends For Life Public Charter School",2008,1,432.00,424.00,389.00,423.00,26.00
"Amigos Por Vida-Friends For Life Public Charter School",2009,1,471.00,458.00,426.00,471.00,26.00
"Amigos Por Vida-Friends For Life Public Charter School",2010,1,482.00,480.00,429.00,451.00,27.00
"Amigos Por Vida-Friends For Life Public Charter School",2011,1,475.00,470.00,445.00,455.00,28.00
"Amigos Por Vida-Friends For Life Public Charter School",2012,1,485.00,478.00,448.00,483.00,27.00
"Amigos Por Vida-Friends For Life Public Charter School",2013,1,510.00,505.00,461.00,475.00,23.00
"Amigos Por Vida-Friends For Life Public Charter School",2014,1,521.00,509.00,482.00,501.00,30.00
"Amigos Por Vida-Friends For Life Public Charter School",2015,1,500.00,493.00,461.00,472.00,21.00
"Amigos Por Vida-Friends For Life Public Charter School",2016,1,527.00,511.00,475.00,475.00,24.00
"Amigos Por Vida-Friends For Life Public Charter School",2017,1,499.00,482.00,421.00,420.00,30.00
"Amigos Por Vida-Friends For Life Public Charter School",2018,1,513.00,505.00,431.00,430.00,40.00
"Amigos Por Vida-Friends For Life Public Charter School",2020,1,508.00,501.00,438.00,372.00,31.00
"Aristoi Classical Academy",1997,1,122.00,0.00,3.00,0.00,38.00
"Aristoi Classical Academy",1998,1,102.00,3.00,4.00,0.00,33.00
"Aristoi Classical Academy",1999,2,153.00,0.00,0.00,0.00,34.00
"Aristoi Classical Academy",2000,2,237.00,0.00,5.00,0.00,50.00
"Aristoi Classical Academy",2001,2,228.00,0.00,0.00,0.00,30.00
"Aristoi Classical Academy",2002,2,192.00,0.00,0.00,0.00,21.00
"Aristoi Classical Academy",2003,2,186.00,0.00,0.00,0.00,26.00
"Aristoi Classical Academy",2004,2,245.00,0.00,0.00,0.00,37.00
"Aristoi Classical Academy",2005,2,215.00,0.00,0.00,0.00,34.00
"Aristoi Classical Academy",2006,2,138.00,0.00,0.00,0.00,32.00
"Aristoi Classical Academy",2007,2,178.00,0.00,0.00,0.00,19.00
"Aristoi Classical Academy",2008,1,245.00,0.00,0.00,0.00,23.00
"Aristoi Classical Academy",2009,1,317.00,57.00,0.00,0.00,23.00
"Aristoi Classical Academy",2010,1,307.00,61.00,0.00,0.00,27.00
"Aristoi Classical Academy",2011,1,305.00,88.00,0.00,0.00,21.00
"Aristoi Classical Academy",2012,1,305.00,86.00,15.00,18.00,24.00
"Aristoi Classical Academy",2013,1,320.00,76.00,19.00,18.00,30.00
"Aristoi Classical Academy",2014,1,430.00,106.00,18.00,17.00,26.00
"Aristoi Classical Academy",2015,2,539.00,100.00,31.00,27.00,30.00
"Aristoi Classical Academy",2016,2,644.00,104.00,27.00,27.00,35.00
"Aristoi Classical Academy",2017,2,779.00,130.00,23.00,23.00,43.00
"Aristoi Classical Academy",2018,2,856.00,206.00,30.00,30.00,61.00
"Aristoi Classical Academy",2019,2,911.00,210.00,10.00,10.00,82.00
"Aristoi Classical Academy",2020,2,956.00,219.00,10.00,10.00,96.00
"Arlington Classics Academy",2000,1,311.00,0.00,0.00,1.00,8.00
"Arlington Classics Academy",2001,1,272.00,15.00,0.00,0.00,14.00
"Arlington Classics Academy",2002,1,246.00,10.00,0.00,0.00,15.00
"Arlington Classics Academy",2003,1,259.00,19.00,12.00,12.00,14.00
"Arlington Classics Academy",2004,1,249.00,47.00,10.00,10.00,8.00
"Arlington Classics Academy",2005,1,274.00,62.00,9.00,9.00,25.00
"Arlington Classics Academy",2006,1,355.00,16.00,9.00,10.00,16.00
"Arlington Classics Academy",2007,1,404.00,27.00,10.00,9.00,34.00
"Arlington Classics Academy",2008,1,430.00,21.00,8.00,8.00,22.00
"Arlington Classics Academy",2009,1,461.00,8.00,7.00,5.00,27.00
"Arlington Classics Academy",2010,1,502.00,33.00,12.00,10.00,17.00
"Arlington Classics Academy",2011,1,495.00,26.00,9.00,8.00,19.00
"Arlington Classics Academy",2012,3,997.00,171.00,39.00,25.00,24.00
"Arlington Classics Academy",2013,3,1176.00,224.00,45.00,22.00,34.00
"Arlington Classics Academy",2014,3,1284.00,256.00,43.00,31.00,43.00
"Arlington Classics Academy",2015,3,1392.00,246.00,64.00,54.00,54.00
"Arlington Classics Academy",2016,3,1442.00,289.00,66.00,44.00,53.00
"Arlington Classics Academy",2017,3,1486.00,276.00,66.00,52.00,49.00
"Arlington Classics Academy",2018,3,1532.00,288.00,69.00,62.00,51.00
"Arlington Classics Academy",2019,3,1550.00,311.00,93.00,91.00,57.00
"Arlington Classics Academy",2020,3,1561.00,315.00,96.00,94.00,52.00
"Arrow Academy",2012,4,571.00,399.00,2.00,0.00,17.00
"Arrow Academy",2013,6,867.00,678.00,114.00,114.00,34.00
"Arrow Academy",2014,6,927.00,775.00,192.00,189.00,41.00
"Arrow Academy",2015,7,844.00,625.00,220.00,215.00,31.00
"Arrow Academy",2016,5,547.00,391.00,57.00,56.00,25.00
"Arrow Academy",2017,4,491.00,381.00,47.00,47.00,34.00
"Arrow Academy",2018,4,621.00,574.00,79.00,75.00,40.00
"Arrow Academy",2019,4,706.00,586.00,92.00,88.00,33.00
"Arrow Academy",2020,4,784.00,624.00,113.00,49.00,58.00
"Austin Achieve Public Schools",2013,1,118.00,111.00,43.00,43.00,9.00
"Austin Achieve Public Schools",2014,1,278.00,84.00,139.00,139.00,19.00
"Austin Achieve Public Schools",2015,1,411.00,384.00,180.00,178.00,52.00
"Austin Achieve Public Schools",2016,1,548.00,512.00,311.00,310.00,59.00
"Austin Achieve Public Schools",2017,1,702.00,626.00,393.00,393.00,86.00
"Austin Achieve Public Schools",2018,1,809.00,760.00,462.00,459.00,104.00
"Austin Achieve Public Schools",2019,2,1556.00,1479.00,1004.00,939.00,151.00
"Austin Achieve Public Schools",2020,3,1869.00,1725.00,1189.00,966.00,182.00
"Austin Can Academy Charter School",2003,1,81.00,54.00,0.00,0.00,11.00
"Austin Can Academy Charter School",2004,1,179.00,120.00,1.00,1.00,34.00
"Austin Can Academy Charter School",2005,1,243.00,208.00,36.00,10.00,43.00
"Austin Can Academy Charter School",2006,1,371.00,184.00,54.00,39.00,74.00
"Austin Can Academy Charter School",2007,1,271.00,231.00,82.00,77.00,55.00
"Austin Can Academy Charter School",2008,1,301.00,202.00,76.00,75.00,50.00
"Austin Can Academy Charter School",2009,1,290.00,269.00,45.00,45.00,57.00
"Austin Can Academy Charter School",2010,1,357.00,315.00,79.00,79.00,60.00
"Austin Can Academy Charter School",2011,1,363.00,328.00,94.00,90.00,67.00
"Austin Can Academy Charter School",2012,1,297.00,264.00,65.00,63.00,51.00
